time,model,execution_time,memory_usage
2025-03-23 19:24:49.809584,nomic-ai/nomic-embed-text-v1,17.54748272895813,232.078125
2025-03-23 19:30:27.386704,all-MiniLM-L6-v2,6.461855888366699,104.015625
2025-03-23 19:30:36.636022,all-mpnet-base-v2,9.21791696548462,69.46875
2025-03-23 19:30:55.189273,nomic-ai/nomic-embed-text-v1,18.53483510017395,668.4375
2025-03-23 19:38:39.498966,all-MiniLM-L6-v2,3.244565010070801,13.765625
2025-03-23 19:38:42.245845,all-mpnet-base-v2,2.7343339920043945,74.28125
2025-03-23 19:38:59.985853,nomic-ai/nomic-embed-text-v1,17.727699995040894,678.46875
2025-03-23 19:46:14.981956,all-MiniLM-L6-v2,13.431313753128052,251.421875
2025-03-23 19:46:25.914686,all-mpnet-base-v2,10.877831935882568,821.03125
2025-03-23 19:46:43.210309,nomic-ai/nomic-embed-text-v1,17.231398105621338,116.765625
2025-03-23 19:51:47.699340,all-MiniLM-L6-v2,4.445659875869751,35.0625
2025-03-23 19:51:51.506077,all-mpnet-base-v2,3.7771992683410645,57.671875
2025-03-23 19:52:08.175853,nomic-ai/nomic-embed-text-v1,16.661918878555298,570.375
2025-03-23 19:59:36.466216,all-MiniLM-L6-v2,8.83109998703003,580.546875
2025-03-23 19:59:44.017958,all-mpnet-base-v2,7.502079963684082,330.4375
2025-03-23 19:59:58.550156,nomic-ai/nomic-embed-text-v1,14.502076864242554,206.4375
2025-03-23 20:29:34.024404,all-MiniLM-L6-v2,8.680054903030396,61.484375
2025-03-23 20:29:52.388986,all-mpnet-base-v2,18.324591875076294,-88.4375
2025-03-23 20:30:05.080124,nomic-ai/nomic-embed-text-v1,12.66924500465393,264.34375
2025-03-23 20:36:32.925382,all-MiniLM-L6-v2,3.210042715072632,117.5625
2025-03-23 20:36:36.695622,all-mpnet-base-v2,3.7227258682250977,65.765625
2025-03-23 20:37:03.161979,nomic-ai/nomic-embed-text-v1,26.453779935836792,535.578125
2025-03-23 20:44:41.010760,all-MiniLM-L6-v2,9.204368114471436,3.125
2025-03-23 20:44:44.054831,all-mpnet-base-v2,3.0049850940704346,65.171875
2025-03-23 20:44:56.725999,nomic-ai/nomic-embed-text-v1,12.658080101013184,199.03125
2025-03-23 20:52:08.326155,all-MiniLM-L6-v2,2.1753458976745605,77.234375
2025-03-23 20:52:12.843146,all-mpnet-base-v2,4.472870826721191,110.859375
2025-03-23 20:52:28.503484,nomic-ai/nomic-embed-text-v1,15.645088195800781,1446.375
2025-03-23 20:59:30.486688,all-MiniLM-L6-v2,7.267981052398682,-89.203125
2025-03-23 20:59:41.955202,all-mpnet-base-v2,11.448116779327393,31.65625
2025-03-23 21:00:04.745709,nomic-ai/nomic-embed-text-v1,22.781922817230225,712.25
2025-03-23 21:08:07.650204,all-MiniLM-L6-v2,7.305154800415039,40.875
2025-03-23 21:08:25.136269,all-mpnet-base-v2,17.450881004333496,545.03125
2025-03-23 21:08:36.556897,nomic-ai/nomic-embed-text-v1,11.373447895050049,306.75
2025-03-23 21:13:44.054811,all-MiniLM-L6-v2,3.421869993209839,103.609375
2025-03-23 21:13:48.368910,all-mpnet-base-v2,4.286166191101074,72.1875
2025-03-23 21:14:05.539410,nomic-ai/nomic-embed-text-v1,17.15900492668152,729.6875
2025-03-23 21:22:06.026559,all-MiniLM-L6-v2,8.571133136749268,3.359375
2025-03-23 21:22:13.979963,all-mpnet-base-v2,7.924458026885986,47.046875
2025-03-23 21:22:28.531066,nomic-ai/nomic-embed-text-v1,14.53803014755249,169.578125
2025-03-23 21:29:29.384173,all-MiniLM-L6-v2,6.0368757247924805,127.734375
2025-03-23 21:29:31.207210,all-mpnet-base-v2,1.780014991760254,62.90625
2025-03-23 21:29:50.290909,nomic-ai/nomic-embed-text-v1,19.07598090171814,650.828125
2025-03-23 21:37:29.599603,all-MiniLM-L6-v2,12.53879714012146,823.515625
2025-03-23 21:37:51.254057,all-mpnet-base-v2,21.59275484085083,534.046875
2025-03-23 21:38:09.551001,nomic-ai/nomic-embed-text-v1,18.190985918045044,329.765625
2025-03-23 21:42:23.372117,all-MiniLM-L6-v2,1.3399600982666016,14.53125
2025-03-23 21:42:25.241501,all-mpnet-base-v2,1.8583333492279053,40.609375
2025-03-23 21:42:50.763980,nomic-ai/nomic-embed-text-v1,25.508397102355957,641.109375
2025-03-23 21:49:57.021681,all-MiniLM-L6-v2,7.4738781452178955,261.3125
